work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,0,2,95,69120,64,0,62,1
2025,0,2,95,50160,64,0,62,1
2025,0,2,114,158113,91,0,86,1
2025,0,2,114,87795,91,0,86,1
2025,1,2,114,195230,91,0,86,1
2025,3,2,197,199000,91,100,86,1
2025,3,2,197,159200,91,100,86,1
2025,3,2,331,207000,91,100,86,1
2025,3,2,331,160000,91,100,86,1
2025,3,2,30,191000,91,100,86,1
2025,3,2,30,162000,91,100,86,1
2025,2,2,30,146000,91,0,86,1
2025,2,2,30,97000,91,0,86,1
2025,3,2,109,278500,91,0,86,1
2025,3,2,109,131300,91,0,86,1
2025,2,2,140,121000,91,0,86,1
2025,2,2,140,103000,91,0,86,1
2025,2,2,140,80000,91,0,86,1
2025,2,2,140,62000,91,0,86,1
2025,3,2,48,198300,91,0,86,1
2025,3,2,48,94400,91,0,86,1
2025,2,2,231,246000,91,0,86,1
2025,2,2,231,196000,91,0,86,1
2025,3,2,231,230000,91,0,86,1
2025,3,2,231,175000,91,0,86,1
2025,3,2,197,175000,13,0,12,1
2025,3,2,197,142000,13,0,12,1
2025,1,2,197,325000,91,100,86,1
2025,1,2,197,250000,91,100,86,1
2025,3,2,231,174600,91,0,86,1
2025,3,2,231,116400,91,0,86,1
2025,3,2,242,202500,91,0,86,1
2025,3,2,242,121500,91,0,86,1
2025,2,2,69,107309,13,0,12,1
2025,2,2,69,85839,13,0,12,1
2025,3,2,284,142000,13,100,12,1
2025,3,2,284,113000,13,100,12,1
2025,2,2,162,209100,91,0,86,1
2025,2,2,162,154500,91,0,86,1
2025,3,2,162,335720,91,100,86,1
2025,3,2,162,163064,91,100,86,1
2025,0,2,162,77000,91,0,86,1
2025,0,2,162,70000,91,0,86,1
2025,3,2,162,133000,91,0,86,1
2025,3,2,162,90000,91,0,86,1
2025,2,2,162,150400,91,0,86,1
2025,2,2,162,90300,91,0,86,1
2025,2,2,162,142200,91,0,86,1
2025,2,2,162,85300,91,0,86,1
2025,2,2,162,128600,91,0,86,1
2025,2,2,162,62800,91,0,86,1
2025,2,2,162,218030,91,0,86,1
2025,2,2,162,114080,91,0,86,1
2025,2,2,197,240000,91,0,86,1
2025,2,2,197,120000,91,0,86,1
2025,3,2,4,200000,91,0,86,1
2025,3,2,4,170000,91,0,86,1
